id;name;description;help;min_age;max_age;target_value
1;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;38292;11959;97171
2;synthesizing hard drive Robust;Avon;system Small;43933;10789;20171
3;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306;22879;94285
4;Money Market Account;Salad Web virtual;Refined Squares;21844;18657;41650
5;EXE projection Fresh;support Gorgeous;withdrawal;52;81801;35256
6;ability Hat Iraq;magenta Concrete;User-centric Gloves;21876;51879;55810
7;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661;50267;41103
8;Home;Investor Public-key;Lebanon;44778;98565;55289
9;Credit Card Account;navigate;Re-contextualized;80313;36778;47030
10;Orchestrator deliver;Licensed hacking installation;Argentine Peso;85835;59089;32595
