id;country;city;street;zip_code
1;Svalbard & Jan Mayen Islands;Lubowitzshire;Terry Park;45140-4776
2;Nicaragua;Quinnberg;Morissette Underpass;93656
3;Hong Kong;Humbertoton;Faustino Underpass;54793-2658
4;Peru;Schinnerland;Ronny Lodge;72040
5;Wallis and Futuna;Jeramieborough;Nader Heights;23051-4151
6;Iceland;New Lucindaville;Ezequiel Estate;88456
7;Virgin Islands, British;New Claudineberg;Cathy Camp;23100
8;Malta;South Jailynborough;Franz Falls;53630
9;Benin;Kshlerinstad;Langosh Rapids;19300-2880
10;Saint Helena;Christinashire;Gabe Ferry;42673-5477
