id;name;is_public;description;help
1;drive Somoni Accountability;false;Markets;enterprise solid state Ergonomic
2;Intranet matrix override;false;Auto Loan Account;Tasty Cotton Soap
3;Kwacha optical withdrawal;true;rich full-range sky blue;Square matrix
4;Refined THX sensor;false;pink;Frozen Toys sensor
5;Optimization;false;revolutionary Bedfordshire;Isle
6;Hawaii;false;Chief;Rustic
7;proactive payment Armenia;true;Danish Krone even-keeled;eyeballs copy experiences
8;Manager;false;holistic granular violet;Wisconsin
9;Centralized Toys Buckinghamshire;true;firewall payment;Incredible convergence content-based
10;Shoes JBOD ADP;true;Switchable niches;magenta
