id;name;description;help;min_age;max_age
1;drive Somoni Accountability;lavender scale;transmit Future;24423;74947
2;Massachusetts Accounts turquoise;Auto Loan Account;Tasty Cotton Soap;94290;66714
3;optical withdrawal;PCI Engineer;sky blue Kiribati;79209;72582
4;Brunei Dollar SCSI payment;Books pink;Frozen Toys sensor;13149;93203
5;Grocery revolutionary;Extended Isle;Hawaii;39894;3884
6;Response Rustic Coordinator;payment;Sleek Cotton Chicken black;35247;86828
7;ivory global;Frozen blue navigate;granular violet Towels;96912;67042
8;Small;Buckinghamshire Markets;Borders Credit Card Account Incredible;41833;50050
9;Right-sized;Summit;ADP Tenge Switchable;43613;39192
10;magenta;Savings Account Representative;Solutions;62439;41833
