id;country;city;street;zip_code
1;Philippines;Lake Matteo;Stephen Village;96719
2;Suriname;New Kenyonburgh;Hillard Stream;49080-6269
3;Republic of Korea;Quincyhaven;Hermann Underpass;91324
4;Luxembourg;North Jermaine;Goldner Shoal;19721-0671
5;Venezuela;Chaztown;Kassulke Neck;67384
6;Republic of Korea;Xzaviermouth;Richie Estate;63813-7943
7;China;Danielberg;Shirley Freeway;34716-8670
8;Mexico;East Darienchester;Novella Cape;83934-1596
9;Svalbard & Jan Mayen Islands;Dawntown;Sam Springs;01342-8762
10;Papua New Guinea;South Camryn;Guiseppe Street;78729
