id;name;state;city;street;street_number;latitude;longitude;capacity;map_link;max_age;min_age
1;Gorgeous Cotton Shirt Grocery;Factors;Howellchester;Buckridge Views;instruction set Seychelles lime;90904;90932;34833;Romania encompassing;43265;84428
2;invoice;Borders olive Central;Bernhardville;Heaney Squares;Uruguay SDD;92409;63896;76963;Hat Direct;92103;3258
3;throughput SSL Quality;Berkshire;New Mia;Macey Overpass;engineer;53434;94844;78291;back up Fields;18992;20911
4;Austria Developer;Regional indigo;Sammyborough;Edwin Hollow;24/7;83042;4599;20750;functionalities El Salvador;53954;57485
5;Fresh;support Metal feed;East Adonis;Kiehn Forks;Designer Handcrafted;18855;68767;41118;Cheese leverage;91791;77319
6;Rustic Yen;Investor Product;Jeramieberg;Sid Canyon;forecast;66574;46409;33528;matrix;27652;25761
7;Harbor;Strategist schemas synthesizing;Stromanport;Leila Forest;green value-added Mouse;33857;69989;83378;attitude Inverse global;68624;95597
8;USB Rustic Concrete Table;National;East Prince;Murazik Fords;Producer;23726;61778;68460;User-friendly;29746;70664
9;transmit;Indian Rupee Ngultrum;West Jewellberg;Schmeler Vista;actuating;23696;56232;23406;Front-line;74851;7424
10;Associate Associate;Brunei Darussalam;New Santinafurt;Herman Flats;program pixel bandwidth;95597;63438;26762;Dong;52463;68891
