id;name;description
1;Frozen Hawaii;GB
2;Malaysian Ringgit systematic Ethiopian Birr;Auto Loan Account
3;Trace Practical Cotton Fish;Personal Loan Account XSS overriding
4;North Carolina invoice Georgia;Awesome Steel Pizza
5;Agent redundant partnerships;productize Aruba quantify
6;Rustic;Program
7;Borders array supply-chains;Dynamic mint green
8;e-enable Kazakhstan interfaces;Fantastic
9;FTP Track;adapter Small asynchronous
10;Chief;Codes specifically reserved for testing purposes South Carolina
